"N°","dc.contributor.author","dc.title","dc.date.issued","dc.publisher","dc.identifier.uri","dc.subject","thesis.degree.grantor","thesis.degress.name","renati.level","renati.type"
"8918","Mezarina López, Verónica Zarella | Vera Linares, Sandra Carolina | Torres Quique, José Luis","Plan estratégico para la cadena de Restaurantes Wok 2012-2016","2016","Universidad del Pacífico","http://hdl.handle.net/11354/1701","Planificación estratégica | Restaurantes | Administración","Universidad del Pacífico. Escuela de Postgrado","","",""
"8919","Benites Córdova, Keila Ysabel","Inversión pública y crecimiento económico en el Perú, período 2012 – 2022","2023","Universidad Nacional de Trujillo","https://hdl.handle.net/20.500.14414/21643","Inversión pública | Crecimiento económico | Gasto público","Universidad Nacional de Trujillo. Facultad de Ciencias Económicas. Escuela Profesional de Economía","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8920","Cáceres Ponce, Fabricio Renato","Análisis del impacto generado por la aplicación de sistemas de acarreo autónomo en la planificación y desarrollo de una operación minera a cielo abierto en el Sur de Perú","2025","Universidad Tecnológica del Perú","https://hdl.handle.net/20.500.12867/15279","IOT | Camiones de acarreo autónomo | Conectividad autónoma","Universidad Tecnológica del Perú. Facultad de Ingeniería","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8921","Herrera Cordova, Edwin | Pomiano Huaman, Nohely","El impacto económico de las detracciones y la influencia tributaria en la empresa gráfica industrial Alarcón S.A.C. en el periodo 2015","2017","Universidad Tecnológica del Perú","https://hdl.handle.net/20.500.12867/1065","Contabilidad | Sistemas de detracciones | Contabilidad tributaria | Liquidez (Finanzas) | Impresión (artes gráficas)","Universidad Tecnológica del Perú. Facultad de Administración y Negocios","","https://purl.org/pe-repo/renati/level#bachiller","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"8922","Ruiz Camacho, Lorenzo Jesús","Acuerdos de Terminación Anticipada Parcial en casos complejos: Desafíos en los Juzgados Penales de Lima Metropolitana- 2025","2025","Universidad Tecnológica del Perú","https://hdl.handle.net/20.500.12867/13124","Terminación Anticipada | Acuerdos parciales | Delitos conexos | Celeridad Procesal","Universidad Tecnológica del Perú. Facultad de Derecho y Ciencias Humanas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8923","Cordova Corzo, Henry Agustin | Flores Aparicio, Johann Nick | Rojas Santillan, Zenon Michael | Sanchez Chavez, Herlin Noe","Aplicación de metodología Last Planner System (LPS) para la mejora de costo y tiempo en el proyecto de construcción del Instituto de Medicina Tropical de la Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas en el año 2024","2025","Universidad Tecnológica del Perú","https://hdl.handle.net/20.500.12867/14289","Aplicación | Last Planner System | Metodología","Universidad Tecnológica del Perú. Escuela de Postgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"8924","Vidaurre Landa, Antony Nelson","Un enfoque novedoso para evaluar la vulnerabilidad sísmica en edificios residenciales latinoamericanos: un estudio de caso peruano","2022","Universidad Tecnológica del Perú","https://hdl.handle.net/20.500.12867/6127","Vulnerabilidad sísmica | Seguridad de las viviendas","Universidad Tecnológica del Perú. Facultad de Ingeniería","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8925","Garcia Garcia, Rosmery","El comercio electrónico y su impacto en la reactivación del turismo en las agencias de viaje de Miraflores 2022","2022","Universidad Tecnológica del Perú","https://hdl.handle.net/20.500.12867/8515","Comercio electrónico | Plataformas digitales | Comportamiento del consumidor | Turismo","Universidad Tecnológica del Perú. Facultad de Administración y Negocios","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8926","Carbajal Jaimes, Mirian | Espinoza Yancul, Jessica Margot","Comercialización de milanesa de merluza, en los distritos de Los Olivos, San Martín de Porres, Independencia y Comas","2015","Universidad Tecnológica del Perú","https://hdl.handle.net/20.500.12867/368","Comercio pesquero | Comercio minorista | Exportaciones | Estudio de mercado | Plan de marketing | Análisis costo-beneficio | Plan de negocio","Universidad Tecnológica del Perú. Facultad de Administración y Negocios","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#trabajoDeSuficienciaProfesional"
"8927","Breña Alberto, Hans Rony | Curilla Baltazar, Nathaly Valeria","Modelo de planificación de vivienda social progresiva e infraestructura  comunitaria en el asentamiento humano San Benito, Carabayllo 2025","2025","Universidad Tecnológica del Perú","https://hdl.handle.net/20.500.12867/16870","Vivienda social | Infraestructura comunitaria | Flexibilidad","Universidad Tecnológica del Perú. Facultad de Ingeniería","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8928","Reyes Ruiz, Katherin Gabriela","Propuesta de digitalización en el proceso de atención al cliente de Compartamos Financiera S.A.","2023","Universidad Nacional de Trujillo","https://hdl.handle.net/20.500.14414/19873","Clientes | Atención al cliente | Digitalización | Compartamos Financiera","Universidad Nacional de Trujillo. Facultad de Ciencias Económicas. Escuela Profesional de Economía","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#trabajoDeSuficienciaProfesional"
"8929","Gutierrez Ramos, Ruth Ysabel","Diseño de un biodigestor para generación de electricidad a partir de estiércol de ganado vacuno en el caserío El Porvenir, distrito de Bagua Grande – Amazonas","2021","Universidad Politécnica Amazónica","","Suministro eléctrico | Biodigestores | Energía renovable | Digestión anaeróbica | Ingeniería mecánica","Universidad Politécnica Amazónica. Facultad de Ingeniería","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8930","Lau Goyoneche, Juan Ricardo","Plan de negocios para desarrollar el servicio integrado de crianza de pollos","2011-01-01","Universidad Peruana de Ciencias Aplicadas (UPC)","http://hdl.handle.net/10757/315280","Creación de empresas | Administración de Empresas | Planificación de la empresa | Estrategias de marketing | Planificación estratégica | Evaluación económica | Crianza de animales | Tesis","Universidad Peruana de Ciencias Aplicadas (UPC). Escuela de Postgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"8931","Alencar Davila, Luz Angelica | Cepeda Tascón, Eduardo José | Mañuico Nicho, Adela Beatriz","Plan de negocio para la implementación del modelo de negocio de IKEA en Perú","2016-10-01","Universidad Peruana de Ciencias Aplicadas (UPC)","http://hdl.handle.net/10757/620917","Creación de empresas | Administración de Empresas | Planificación estratégica | Administración de procesos | Evaluación económica | Estudios de viabilidad","Universidad Peruana de Ciencias Aplicadas (UPC). Escuela de Postgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"8932","Moreno Ramírez, Miguel Angel","La creación de valor de las empresas del indice S&P BVL Perú select de la BVL de Lima","2017-12-01","Universidad Peruana de Ciencias Aplicadas (UPC)","http://hdl.handle.net/10757/622830","Finanzas | BVL de Lima","Universidad Peruana de Ciencias Aplicadas (UPC). Escuela de Postgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"8933","Seminario Ccori, Kimberly Brilly","Efecto de las variaciones del tipo de cambio sobre la rentabilidad bursátil del sector bancario del MILA, en el periodo 2011-2021","2024-07-11","Universidad Peruana de Ciencias Aplicadas (UPC)","http://hdl.handle.net/10757/675248","Rentabilidad bursátil | Tipo de cambio | Bancos | Modelo APT | Modelo CAPM | Stock market return | Exchange rate | Banks | APT model | CAPM model","Universidad Peruana de Ciencias Aplicadas (UPC). Facultad de Economía","","https://purl.org/pe-repo/renati/level#bachiller","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"8934","Aliaga Orellana, Oscar Andres","Respuesta Asimétrica a los Shocks de Petróleo: Evidencia de Series Temporales para la Economía Peruana","2024-06-10","Universidad Peruana de Ciencias Aplicadas (UPC)","http://hdl.handle.net/10757/684160","Choques de precios de petróleo | Efectos asimétricos | Actividad económica | Modelo | Países importadores netos de petróleo | Price shocks | Asymmetry effects | Economic activity | SVAR model | Oil-importing countries","Universidad Peruana de Ciencias Aplicadas (UPC). Facultad de Economía","","https://purl.org/pe-repo/renati/level#bachiller","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"8935","Infantes Huanca, Danissa","Factores relacionados con la percepción de felicidad en adolescentes de una institución preuniversitaria de Arequipa","2024","Universidad Nacional de San Agustín de Arequipa","https://hdl.handle.net/20.500.12773/17426","felicidad | preuniversitarios | factores","Universidad Nacional de San Agustín de Arequipa.Facultad de Medicina","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8936","Chura Quispe, Jhoan Andre","Disminución de la concentración de boro de las aguas del río Tambo por ósmosis inversa","2022","Universidad Nacional de San Agustín de Arequipa","https://hdl.handle.net/20.500.12773/21237","Boro | Ósmosis Inversa | Disminución de concentración","Universidad Nacional de San Agustín de Arequipa.Facultad de Ciencias Naturales y Formales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8937","Mamani Pezo, Gonzalo Martin","Estudio de la recuperación de oro desde soluciones cianuradas utilizando intercambio ionico","2018","Universidad Nacional de San Agustín de Arequipa","http://repositorio.unsa.edu.pe/handle/UNSA/9413","Cianuracion | Lixiviación | Carbon Activado | Adsorcion","Universidad Nacional de San Agustín de Arequipa.Facultad de Ingeniería de Procesos","","",""
"8938","Miranda Barrios, Elizabeth Antonia","Identificación de meloidogyne spp. en cucurbitáceas de cuatro provincias de Arequipa mediante electroforesis y reacción de cultivares de zapallo","2018","Universidad Nacional de San Agustín de Arequipa","http://repositorio.unsa.edu.pe/handle/UNSA/7242","Nematodo de las agallas | Enzima esterasa | Zapallo","Universidad Nacional de San Agustín de Arequipa.Facultad de Agronomía","","http://purl.org/pe-repo/renati/level#tituloProfesional","http://purl.org/pe-repo/renati/type#tesis"
"8939","Jimenez Arce, Jorge Fabrizzio","Factores asociados a riesgo de ideación suicida en estudiantes de medicina de la Universidad Nacional de San Agustín, 2025","2025","Universidad Nacional de San Agustín de Arequipa","https://hdl.handle.net/20.500.12773/19655","ideación suicida | estudiantes de medicina | factores asociados","Universidad Nacional de San Agustín de Arequipa.Facultad de Medicina","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8940","Torres Choque, Yurema Yohaida","Propuesta de implementación de la auditoría ambiental para su aplicación en empresas distribuidoras y comercializadoras en la región Arequipa año 2014; caso: Tambos Perú SAC","2015","Universidad Nacional de San Agustín de Arequipa","http://repositorio.unsa.edu.pe/handle/UNSA/2197","Auditoría ambiental | Regulación técnicas | Rol de contadores | Practicas medioambientales | Gestión ambiental","Universidad Nacional de San Agustín de Arequipa.Facultad de Ciencias Contables y financieras","","http://purl.org/pe-repo/renati/nivel#tituloProfesional","http://purl.org/pe-repo/renati/type#tesis"
"8941","Valdez Delgado, Rosa Mily","Gestión financiera y su incidencia en el desarrollo sostenible de la empresa Sociedad minera Cerro Verde S.A.A. Arequipa 2013 – 2017","2019","Universidad Nacional de San Agustín de Arequipa","http://repositorio.unsa.edu.pe/handle/UNSA/11026","Gestión financiera | Desarrollo sostenible | sector minero","Universidad Nacional de San Agustín de Arequipa.Facultad de Ciencias Contables y financieras","","http://purl.org/pe-repo/renati/nivel#tituloProfesional","http://purl.org/pe-repo/renati/type#tesis"
"8942","Zambrano Ortiz, Dhaynee Maely | Chavez Gomez, Christian Helvin","Análisis del riesgo crediticio en las microfinanzas de los emprendedores de la plataforma Andrés Avelino Cáceres y su incidencia en la morosidad en la cooperativa de ahorro y crédito Credicoop Arequipa - 2018","2019","Universidad Nacional de San Agustín de Arequipa","http://repositorio.unsa.edu.pe/handle/UNSA/10207","microfinanzas | riesgo crediticio | morosidad","Universidad Nacional de San Agustín de Arequipa.Facultad de Administración","","http://purl.org/pe-repo/renati/level#tituloProfesional","http://purl.org/pe-repo/renati/type#tesis"
"8943","Rodriguez Condo, Lidia","Propuesta de plan estratégico de desarrollo turístico 2018 - 2025 y su fomento de desarrollo turístico sustentable en el distrito de Pichigua, provincia de Espinar, región Cusco","2018","Universidad Nacional de San Agustín de Arequipa","http://repositorio.unsa.edu.pe/handle/UNSA/6859","Plan Estratégico | Desarrollo Turístico | Comunidades Campesinas","Universidad Nacional de San Agustín de Arequipa.Facultad de Economía","","http://purl.org/pe-repo/renati/level#tituloProfesional","http://purl.org/pe-repo/renati/type#tesis"
"8944","Chilón Ayay, Elías","Capacidad de ejecución del gasto público de los proyectos de inversión en la municipalidad provincial de Hualgayoc - Bambamarca durante los primeros tres años de gestión: 2007-2009 y 2011 - 2013","2016","Universidad Nacional de Cajamarca","http://hdl.handle.net/20.500.14074/1079","Proyecto inversión | Gastos de inversión | Capacidad de ejecución y gasto público","Universidad Nacional de Cajamarca. Escuela de Posgrado","","",""
"8945","Chuyan Guerrero, Robert","Gestión institucional del sector forestal en el Perú","2014","Universidad Nacional de Cajamarca","http://hdl.handle.net/20.500.14074/412","lnstitucionalidad forestal, ley forestal, legislación","Universidad Nacional de Cajamarca. Facultad de Ciencias Agrarias","","",""
"8946","Cabrera Manosalva, Wilder","Material educativo computarizado para mejorar el rendimiento escolar en el área de ciencia y ambiente en los alumnos del cuarto grado sección B. de educación primaria de la i e exp Antonio Guillermo Urrelo de cajamarca durante el año 2012","2013","Universidad Nacional de Cajamarca","http://hdl.handle.net/20.500.14074","Material educativo computarizado | En el área de ciencia y ambiente | Alumnos del cuarto grado sección b | Antonio Guillermo Urrelo de cajamarca","Universidad Nacional de Cajamarca. Facultad de educación","","",""
"8947","Inderique Samaniego, Arturo | Rivera Mayta, Saul","Recuperación de cobre y cianuro de una solución agotada de lixiviación en la Planta de Procesamiento de Oro  Laytaruma","2021","Universidad Nacional del Centro del Perú","http://hdl.handle.net/20.500.12894/7158","Recuperación de cobre | Cianuro | Solución agotada | Lixiviación | Planta de procesamiento de oro","Universidad Nacional del Centro del Perú.Facultad de Ingeniería Metalúrgica y de Materiales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8948","Carbajal Suarez, Pilar Estefany | Fernandez Astete, Ruth Sheyla","Factores asociados a lesiones por accidentes de tránsito en niños, jóvenes y adultos de la provincia de Huancayo","2024-09-27","Universidad Nacional del Centro del Perú","http://hdl.handle.net/20.500.12894/11377","Accidentes de tránsito | Factores de riesgo | Lesiones por accidentes de tránsito","Universidad Nacional del Centro del Perú. Facultad de Enfermería","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8949","Cuéllar Fernández, José Martín","La Legislación del Teletrabajo y su influencia en la Etica Empresarial en el sector vitivinicola de Ica","2022","Universidad Nacional Del Centro Del Perú","http://hdl.handle.net/20.500.12894/8769","Teletrabajo | empresarios | sector vitivinícola | ética empresarial","Universidad Nacional del Centro del Perú. Facultad de Antropología","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"8950","Tovar Barboza, Jean Franco","Factores que limitaron el gasto en la construcción de la nueva infraestructura municipal del distrito de el tambo: 2011 – 2020","2022","Universidad Nacional del Centro del Perú","http://hdl.handle.net/20.500.12894/8363","Ejecución de gasto | Asignación presupuestal | Elaboración de expediente técnico | Trámite burocrático | Proyecto de inversión pública","Universidad Nacional del Centro del Perú.Facultad de Economía","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8951","Carhuaz Peña, Elvira Luz","Mejoramiento de capacidades empresariales de los microempresarios del sector confecciones de la galería Gamarrita Wanka del Distrito de Huancayo periodo 2014-2015","2018","Universidad Nacional del Centro del Perú","http://hdl.handle.net/20.500.12894/4831","Mejoramiento | Capacidades empresariales | microempresarios | Sector confecciones | Galería Gamarrita","Universidad Nacional del Centro del Perú.Unidad de posgrado de la facultad de Economía","","",""
"8952","Cornejo Medina, Susan Fabiola","Gestión de desechos sólidos en una empresa textil alpaquera para reducir el impacto ambiental –Arequipa 2018-2019","2020","Universidad Continental","https://hdl.handle.net/20.500.12394/8081","Alpacas | Textiles | Industria de la confección | Industria textil","Universidad Continental. Facultad de Ingeniería.","","https://purl.org/pe-repo/renati/level#bachiller","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"8953","Romero Dianderas, Luis Elmer","Efectos de la corrupción en las pérdidas económicas de las microempresas de construcción del distrito de Huancayo","2018","Universidad Continental","https://hdl.handle.net/20.500.12394/5004","Efectos de la corrupción | Microempresa de construcción","Universidad Continental. Facultad de Ciencias de la Empresa.","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8954","Vega Quiroz, Luis Enrique","Análisis de la legislación del teletrabajo y la vulneración de los derechos laborales en el Perú","2025","Universidad Continental","https://hdl.handle.net/20.500.12394/18071","Teletrabajo | Teleworking | Derecho del trabajo | Labor law | Tecnología de la información | Information technology","Universidad Continental. Facultad de Derecho.","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8955","Mercado Maravi, Andy David","Evaluación del banco FSC del banco 1 169.62 MVAr y banco 2 113.1MVAr para la LT. 500 kV Campas - Carapongo LT - 5022 - ISAREP - 2023","2023","Universidad Continental","https://hdl.handle.net/20.500.12394/13061","Energía eléctrica | Interconexión","Universidad Continental. Facultad de Ingeniería.","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#trabajoDeSuficienciaProfesional"
"8956","Ramos Cruz, Yarima Marylin | Ortega Tomas, Luis Gustavo","Determinar la eficiencia de gravas y piedra caliza como filtros naturales en aguas residuales de lavado, Moquegua","2024","Universidad Continental","https://hdl.handle.net/20.500.12394/17023","Filtro | Filter | Grava | Gravel | Piedra caliza | Limestone","Universidad Continental. Facultad de Ingeniería.","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8957","Najarro Oriondo, Jhonny Dante","""Estudio socioeconómico comparativo de la producción agrícola de las comunidades de Chontaca Y Seccelambras""","2011","Universidad Nacional de San Cristóbal de Huamanga","http://repositorio.unsch.edu.pe/handle/UNSCH/2932","Sociedad | Economía | Producción | Agricultura | Campesinos | Libre mercado","Universidad Nacional de San Cristóbal de Huamanga. Facultad de Ciencias Sociales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8958","Torres Kcana, Jonhatan Alfredo","Diseño estructural y cálculo de estabilidad de una barcaza, para operar una grúa móvil de 145 ton de peso en el rio Tambopata, Madre de Dios, 2015","2016","Universidad Nacional de San Antonio Abad del Cusco","http://hdl.handle.net/20.500.12918/2651","Diseño estructural | Cálculo de estabilidad | Barcaza | Grúa movil","Universidad Nacional de San Antonio Abad del Cusco. Facultad de Ingeniería Eléctrica, Electrónica, Informática y Mecánica","","http://purl.org/pe-repo/renati/nivel#tituloProfesional","http://purl.org/pe-repo/renati/type#tesis"
"8959","Cachi Quispe, Mabelly Sheilah","Incorporación de análisis de riesgo en los proyectos de inversión pública caso: PIP. Código SNIP 214311","2017","Universidad Nacional de San Antonio Abad del Cusco","http://hdl.handle.net/20.500.12918/2966","Análisis de riesgos | Inversión pública | Agua potable | Letrinas | Comunidades","Universidad Nacional de San Antonio Abad del Cusco. Escuela de Posgrado","","http://purl.org/pe-repo/renati/nivel#maestro","http://purl.org/pe-repo/renati/type#tesis"
"8960","Mayhua Matamoros, Walter","La inversión pública y el crecimiento económico en la región Huancavelica durante el periodo 2005 – 2020","2022-05-13","Universidad Nacional de Huancavelica","http://repositorio.unh.edu.pe/handle/UNH/4543","Inversión pública | Crecimiento Económico | Agrario | Educación | Salud | Saneamiento y Transporte.","Universidad Nacional de Huancavelica : Facultad de Ciencias Empresariales","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"8961","Delgado Mallque, Flavio Marco | Mendieta Landeo, Carlos Miguel","La informalidad y el crecimiento económico de las mypes en el Distrito de Acobamaba","2015","Universidad Nacional de Huancavelica","http://repositorio.unh.edu.pe/handle/UNH/53","Informalidad | Crecimiento económico de las MYPEs","Universidad Nacional de Huancavelica. Facultad de Ciencias Empresariales","","",""
"8962","Centeno Castro, Roger | De La Cruz Castillo, Pabel Marcelino","La administración con enfoque dinámico en el crecimiento económico de los productores de artesanía textiil en el Distrito de Yauli - segundo semestre 2013","2014","Universidad Nacional de Huancavelica","http://repositorio.unh.edu.pe/handle/UNH/430","Artesanía textil | Productores | Artesanía textil | Administración | Crecimiento económico","Universidad Nacional de Huancavelica. Facultad de Ciencias Empresariales","","",""
"8963","Reyes Tan, Mario Antenor | Barrios Salazar, Esther Natali","Centro Cultural con Capacitación y Comercio Artesanal para el distrito de Catacaos - Piura","2019","Universidad Privada Antenor Orrego","https://hdl.handle.net/20.500.12759/6373","Industria artesanal | Infraestructura | Centro artesanal | Valores artísticos y culturales","Universidad Privada Antenor Orrego. Facultad de Arquitectura, Urbanismo y Artes","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8964","Reyes Villanes, César Alejandro","Caso de estudio: impacto de incertidumbre económica de China en el bienestar de la población de Perú y Chile, período 2000-2019","2021","Universidad de Lima","https://hdl.handle.net/20.500.12724/15081","Bienestar social | International economic relations | Copper | Exports | Imports | Social welfare | Economic development | Economía internacional | Cobre | Exportación | Importación | Desarrollo económico","Universidad de Lima. Facultad de Ciencias Empresariales y Económicas,","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#trabajoDeSuficienciaProfesional"
"8965","Velasquez Humpire, Cesar","Causas generadoras de la informalidad laboral y los efectos jurídicos que se genera en el rubro de la construcción civil en el Perú","2024-12-14","Universidad Andina del Cusco","https://hdl.handle.net/20.500.12557/7738","Informalidad laboral | Sector construcción | Derecho laboral | Relaciones laborales","Universidad Andina del Cusco. Escuela de Pos Grado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"8966","Yábar Carreño, Miguel Ángel","Promoción de los atractivos turísticos culturales - Cantera de Huaccoto en el distrito de San Jerónimo para el desarrollo turístico - Cusco 2018","2021-06-02","Universidad Andina del Cusco","https://hdl.handle.net/20.500.12557/4070","Promoción, | Turismo | Atractivo turístico | Desarrollo turístico | Marketing","Universidad Andina del Cusco. Facultad de Ciencias y Humanidades","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8967","Angulo Casanova, Antonio | Barbarán Villanueva, Juan | Sotelo Ramírez, Francesca | Zimic Palacios, Omar","Planeamiento estratégico del Banco Central de Reserva del Perú","2017-11-06","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/9648","Bancos -- Perú | Planificación estratégica","Pontificia Universidad Católica del Perú. CENTRUM","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"8968","Gonzáles Sotelo, Mery Ross | Medina Valdivia, Edgard Alberto | Rejas Jiménez, José Carlos | Torres Román, Max Julio","Planeamiento estratégico para la industria peruana de carrocerías metálicas","2018-09-17","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/12667","Carrocería--Industria y comercio","Pontificia Universidad Católica del Perú. CENTRUM","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"8969","Gonzalez Pestana, Natalia","Una aproximación a un caso de hibridación indígena: el flujo de consumo material cotidiano y el manejo de residuos sólidos en la comunidad awajún de Wawaim, Amazonas en tiempos contemporáneos","2021-11-04","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/20769","Modernidad | Comunidades nativas--Perú--Amazonía, Región | Awajún | Basuras y aprovechamiento de basuras | Contaminación ambiental","Pontificia Universidad Católica del Perú. Facultad de Letras y Ciencias Humanas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8970","Vila Valenzuela, Jerry Angel","Planeamiento estratégico operativo de la mina Animón","2004","Universidad Nacional de Ingeniería","http://hdl.handle.net/20.500.14076/2014","Minería | Análisis de la mina | Optimización minera | Planeamiento estratégico","Universidad Nacional de Ingeniería. Facultad de Ingeniería Geológica, Minera y Metalúrgica. Unidad de Posgrado","","",""
"8971","Campos Salas, Andrea América | Rodriguez Lavi, Rocio Sicelith","Impacto del proyecto avanzar rural en la calidad de vida de los pequeños productores del distrito de Jepelacio, 2021-2024","2025-11-05","Universidad Nacional de San Martín. Fondo Editorial","https://hdl.handle.net/11458/7299","Desarrollo rural | Asociatividad | Bienestar material | Desarrollo personal | Calidad de vida","Universidad Nacional  de San Martín.  Facultad de Ciencias Económicas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8972","Pi Ríos, Germán Alberto","Uniones empernadas de madera Cumala con pernos de 3/8""","2018","Universidad Nacional de Ingeniería","http://hdl.handle.net/20.500.14076/17624","Uniones empernadas | Madera cumala | Materiales de construcción","Universidad Nacional de Ingeniería. Facultad de Ingeniería Civil","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8973","Bustamante Umpiri, Ronald","Aplicación de economía circular en la reutilización del carbón activado hidratado mediante una regeneración química en el proceso de la decoloración de la glicerina  USP destilada al vacío","2022","Universidad Nacional de Ingeniería","http://hdl.handle.net/20.500.14076/25258","Economía circular | Carbón activado | Regeneración química | Decoloración de la glicerina USP","Universidad Nacional de Ingeniería. Facultad de Ingeniería Química y Textil","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8974","Castagnino Pastor, Claudio Stefano Sabino","Productividad e innovación en el crecimiento del sector agropecuario peruano: 2008 - 2016","2021","Universidad Nacional Agraria La Molina","https://hdl.handle.net/20.500.12996/5000","Sector agrario | Economía agrícola | Producción | Innovación | Mejora | Factores de producción | Innovación agrícola | Desarrollo agropecuario | Perú","Universidad Nacional Agraria La Molina. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"8975","Sebastian Bernuy, Santos Edgard","Propuesta de gestión por procesos en el almacén central para reducir productos deteriorados y defectuosos en la empresa Inversiones Rubin’s S.A.C.","2021","Universidad Tecnológica del Perú","https://hdl.handle.net/20.500.12867/4019","Almacenes | Gestión por procesos | Desmedros | Mejora continua","Universidad Tecnológica del Perú. Facultad de Ingeniería","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#trabajoDeSuficienciaProfesional"
"8976","Hidalgo Pogo, Fanny Elena","Plan de inversión para el fomento de la producción de  Caesalpinia spinosa (Molina) Kuntze en las zonas de impacto de la concesión minera Cascabel para el año 2026","2024-02-22","Escuela de Posgrado Newman","https://hdl.handle.net/20.500.12892/1044","Plan de inversión | Responsabilidad social | Recursos no renovables","Escuela de Posgrado Newman","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"8977","Huallata Monge, Angela Lucia","Lucha contra el lavado de activos en el Perú - 2019","2019","Universidad Católica San Pablo","https://hdl.handle.net/20.500.12590/16125","Lavado de Activos | Operaciones Sospechosas | Delito Precedente | Actividades Ilícitas","Universidad Católica San Pablo. Facultad de Ciencias Económico Empresariales y Humanas","","",""
